selecao,total_chutes,gols_reais,xg_total,xg_medio_por_chute,diferenca_absoluta,diferenca_relativa_pct
Netherlands,43,10,3.66,0.085,6.34,173.208
Spain,47,8,3.451,0.073,4.549,131.812
Portugal,64,10,4.551,0.071,5.449,119.732
Ghana,24,5,2.346,0.098,2.654,113.142
England,61,12,5.734,0.094,6.266,109.267
Australia,26,3,1.569,0.06,1.431,91.216
Serbia,32,5,2.635,0.082,2.365,89.742
Costa Rica,11,2,1.162,0.106,0.838,72.189
France,100,14,8.822,0.088,5.178,58.699
Cameroon,28,4,2.576,0.092,1.424,55.261
South Korea,48,5,3.421,0.071,1.579,46.167
Saudi Arabia,29,3,2.118,0.073,0.882,41.663
Japan,44,5,3.551,0.081,1.449,40.79
Argentina,96,11,7.84,0.082,3.16,40.309
Croatia,79,8,5.744,0.073,2.256,39.268
Switzerland,37,5,3.853,0.104,1.147,29.755
Iran,32,3,2.494,0.078,0.506,20.31
Senegal,49,4,3.334,0.068,0.666,19.981
Ecuador,29,3,2.612,0.09,0.388,14.843
Morocco,62,6,5.456,0.088,0.544,9.966
Brazil,94,7,8.094,0.086,-1.094,-13.515
United States,46,3,3.772,0.082,-0.772,-20.466
Germany,67,5,6.356,0.095,-1.356,-21.335
Uruguay,33,2,2.543,0.077,-0.543,-21.364
Mexico,41,2,2.719,0.066,-0.719,-26.448
Poland,29,2,2.791,0.096,-0.791,-28.348
Qatar,20,1,1.513,0.076,-0.513,-33.915
Tunisia,32,1,2.027,0.063,-1.027,-50.671
Canada,34,1,3.022,0.089,-2.022,-66.908
Belgium,35,1,3.255,0.093,-2.255,-69.276
Denmark,35,1,3.618,0.103,-2.618,-72.362
Wales,23,0,2.033,0.088,-2.033,-100.0
