partida,minuto,jogador,xg_estimado,resultado_real,x,y,parte_do_corpo,situacao_jogo
Ecuador x Netherlands,5,Cody Mathès Gakpo,0.0291,Goal,100.6,31.0,Left Foot,From Throw In
England x France,16,Aurélien Djani Tchouaméni,0.0307,Goal,92.5,43.5,Right Foot,Regular Play
Argentina x Mexico,63,Lionel Andrés Messi Cuccittini,0.0333,Goal,94.9,37.4,Left Foot,From Goal Kick
Brazil x South Korea,75,Seung-Ho Paik,0.0379,Goal,93.7,39.8,Left Foot,From Free Kick
England x Wales,49,Marcus Rashford,0.0382,Goal,96.1,29.3,Right Foot,From Free Kick
Iran x Wales,97,Roozbeh Cheshmi,0.0384,Goal,95.1,37.5,Right Foot,From Throw In
Argentina x Australia,34,Lionel Andrés Messi Cuccittini,0.0389,Goal,104.2,48.9,Left Foot,From Free Kick
Croatia x Morocco,41,Mislav Oršić,0.0396,Goal,106.5,21.3,Right Foot,Regular Play
Canada x Morocco,22,Youssef En-Nesyri,0.0403,Goal,107.6,53.2,Right Foot,From Throw In
Mexico x Saudi Arabia,51,Luis Gerardo Chávez Magallón,0.0405,Goal,86.7,41.3,Left Foot,From Free Kick
