partida,minuto,jogador,xg_estimado,resultado_real,x,y,parte_do_corpo,situacao_jogo
Brazil x South Korea,89,Gleison Bremer Silva Nascimento,0.4479,Saved,116.1,41.0,Head,From Corner
France x Morocco,93,Abderrazak Hamdallah,0.4261,Blocked,115.9,37.4,Other,From Corner
Denmark x Tunisia,69,Andreas Evald Cornelius,0.4249,Post,118.2,43.9,Head,From Corner
Costa Rica x Germany,69,Juan Pablo Vargas Campos,0.4239,Saved,116.1,43.1,Left Foot,From Free Kick
Costa Rica x Germany,75,Niclas Füllkrug,0.4171,Saved,115.2,44.6,Right Foot,From Counter
England x Wales,76,Phil Foden,0.4091,Off T,116.1,39.5,Left Foot,From Counter
United States x Wales,64,Kieffer Roberto Francisco Moore,0.4041,Off T,116.3,43.4,Head,From Corner
Serbia x Switzerland,56,Breel-Donald Embolo,0.3975,Off T,116.1,39.3,Right Foot,From Free Kick
Canada x Morocco,70,Alistair Johnston,0.3948,Off T,118.8,41.6,Head,From Corner
Belgium x Croatia,89,Romelu Lukaku Menama,0.3815,Saved,117.4,37.3,Other,Regular Play
