selecao,total_chutes,distancia_media,angulo_medio,pct_grande_area,pct_contra_ataque,pct_cabeceio,xg_medio
Switzerland,37,16.543,31.337,67.568,0.0,13.514,0.104
Denmark,35,17.94,27.433,68.571,5.714,25.714,0.103
Ghana,24,19.148,30.477,54.167,0.0,16.667,0.098
Poland,29,15.234,30.044,79.31,0.0,27.586,0.096
Germany,67,17.067,26.687,67.164,7.463,16.418,0.095
England,61,16.573,27.65,68.852,4.918,16.393,0.094
Belgium,35,16.382,29.205,71.429,2.857,20.0,0.093
Cameroon,28,18.427,24.351,78.571,10.714,17.857,0.092
Ecuador,29,18.087,28.965,62.069,3.448,27.586,0.09
Canada,34,16.841,31.087,61.765,2.941,23.529,0.089
Wales,23,21.108,24.93,47.826,8.696,17.391,0.088
France,100,16.404,28.42,74.0,5.0,22.0,0.088
Morocco,62,19.727,25.991,56.452,3.226,17.742,0.088
Brazil,94,18.239,25.511,68.085,3.191,13.83,0.086
Netherlands,43,16.439,28.733,67.442,0.0,18.605,0.085
Serbia,32,17.355,27.469,68.75,3.125,31.25,0.082
United States,46,17.68,26.865,65.217,4.348,21.739,0.082
Argentina,96,18.642,24.297,65.625,5.208,10.417,0.082
Japan,44,17.587,26.198,61.364,4.545,15.909,0.081
Iran,32,20.696,23.82,46.875,18.75,12.5,0.078
Uruguay,33,20.176,26.63,60.606,0.0,24.242,0.077
Qatar,20,22.462,25.109,40.0,5.0,20.0,0.076
Spain,47,19.594,21.9,65.957,0.0,12.766,0.073
Saudi Arabia,29,19.186,22.254,62.069,0.0,17.241,0.073
Croatia,79,19.35,24.079,55.696,1.266,15.19,0.073
South Korea,48,20.006,22.731,56.25,2.083,16.667,0.071
Portugal,64,19.872,23.201,54.688,3.125,15.625,0.071
Senegal,49,19.322,24.196,61.224,0.0,16.327,0.068
Mexico,41,22.25,23.763,43.902,7.317,12.195,0.066
Tunisia,32,19.145,21.775,59.375,6.25,12.5,0.063
Australia,26,19.597,23.157,53.846,7.692,26.923,0.06
